video_id,title,published_at,view_count,like_count,comment_count,duration,hours,minutes,seconds,podcast,total_seconds,duration_minutes,is_short_strict
IiLmHwfx6e4,UltraRich Broker Spills secrets on Mumbai Real Estate? | ft. @rk.ravikewalramani Business Podcast,2025-09-05T12:30:33Z,259978,3764,364,PT1H45M46S,1,45,46,No,6346,105.76666666666668,False
ZqIk_TSrsNs,Mumbai Property Pricier Than Manhattan!? Releasing Soon...,2025-09-03T07:30:18Z,112242,3150,31,PT1M34S,0,1,34,No,94,1.5666666666666669,False
tQRjVK8NOiY,Why Work Experience Matters Before MBA,2025-09-01T08:08:05Z,43984,1184,5,PT1M2S,0,1,2,No,62,1.0333333333333334,False
IDFPJSZq8UM,Modi In China : Is India About to Make a HUGE Mistake in China Relations?,2025-08-31T08:30:07Z,857895,28045,2027,PT21M28S,0,21,28,No,1288,21.466666666666665,False
yHbMi0UDgKc,Selling a Startup: Myth vs Reality,2025-08-28T12:31:25Z,241328,6732,23,PT1M10S,0,1,10,No,70,1.1666666666666667,False
KW3TzlGE98I,China’s Lithium Monopoly,2025-08-28T08:50:47Z,524086,13389,118,PT1M9S,0,1,9,No,69,1.15,False
LM1ToX-82f8,Indigo vs Emirates: Can Indigo Survive the Oil Titans and go International? : Business case study,2025-08-27T15:01:38Z,821762,19139,962,PT26M48S,0,26,48,No,1608,26.8,False
Tt-cSywn1f0,Why Scaler redefines business education,2025-08-22T11:37:00Z,59904,1418,10,PT1M36S,0,1,36,No,96,1.6,False
70Bg6fkr9gI,CEO Blueprint : Anupam Mittal's Masterclass on How to Find Gap in the Market?,2025-08-21T15:15:01Z,312192,6212,276,PT1H45M18S,1,45,18,No,6318,105.3,False
QQ9XhGuBIZ8,What Investors Really Look For? @SonyLIV​,2025-08-21T14:33:46Z,85884,3001,23,PT1M37S,0,1,37,No,97,1.6166666666666667,False
bVmqGQwP918,Edit that changed Taare Zameen Par,2025-08-20T13:30:36Z,1578689,44494,90,PT1M14S,0,1,14,No,74,1.2333333333333334,False
1tRTWwZ5DIc,The INSANE Rise of NVIDIA: From Bankruptcy to $4 Trillion? | Business case study @NVIDIA,2025-08-17T06:30:07Z,971431,33075,748,PT26M57S,0,26,57,No,1617,26.95,False
8FDs-jQYAmM,Lessons from Tomorrowland for India!,2025-08-14T13:24:52Z,200399,8865,118,PT1M58S,0,1,58,No,118,1.9666666666666663,False
cgrRcoUDRmM,Payments App That Stops Your Money Leaks,2025-08-13T14:25:27Z,107955,5925,53,PT1M24S,0,1,24,No,84,1.4,False
YYJZ6FDO5W4,3 Critical Factors That Will SHAPE Indian Cinema's Success,2025-08-11T14:30:23Z,253434,5778,478,PT1H46M45S,1,46,45,No,6405,106.75,False
_WCM7Pz1jy4,Addressing the hate I got on the Israel podcast,2025-08-08T14:10:57Z,163594,10736,1876,PT10M6S,0,10,6,No,606,10.1,False
6FzfkIGuscc,"Why Israel Attacks Syria, Fears Iran’s Bomb & Faces Global Pressure : Israeli Ambassador Explains",2025-08-06T13:00:11Z,113771,4412,921,PT1H3M20S,1,3,20,No,3800,63.333333333333336,False
MPb-kn4C1EU,IBP with Israel’s Top Diplomat,2025-08-06T02:30:18Z,40764,1441,108,PT1M26S,0,1,26,No,86,1.4333333333333331,False
P5BRLfA3fGs,"China is in 300% DEBT, is it a CRITICAL LESSON for India? ECONOMIC CASE STUDY",2025-07-30T14:30:07Z,759542,21602,1121,PT16M49S,0,16,49,No,1009,16.816666666666666,False
3JcmOnZ4f3Y,Man behind @OpenAI ft. Srinivas Narayanan,2025-07-30T14:30:04Z,33720,1123,17,PT1M24S,0,1,24,No,84,1.4,False
